date,date_source,cause,location,park_scope,names,age_gender,summary,source_count,source_urls,merged_from,merge_basis,flags,possible_duplicate_of_seed,model_dates
2021-07-31,model,Drowning,Lake Erie Provincial Park,provincial-park,,,A father drowned while trying to save his daughter at a beach in Lake Erie Provincial Park.,4,https://www.google.com/goto?url=CAEStAEB6zswFaBq_2VV5Slr4Nu7DuD8SpHQN1EK5IxMxMa8ptO6xDQ0M8CtRcYJsyzqCwnipCiZon3Tn2w4QpNiE3_8XJozjZMEcRlfMAJPNmVT6JfzRrbz6VeR2M307aG5nAxtmDO0moCEiDUcyu6XHvyWQ9fSzT6I33gNItU-lSdgYgTtwM1msC1tUmQUQUZhKnYj_bKofQvqvpZZsThvYDSRRf0pkVz5BhVZZiHhJ2uFYD-dDck | https://globalnews.ca/news/11304024/child-drowning-prince-edward-country-sandbanks-ontario/ | https://lfpress.com/news/local-news/man-dies-after-diving-from-boat-in-lake-huron-opp | https://www.ctvnews.ca/toronto/article/opp-investigating-drowning-of-3-year-old-child-at-sandbanks-provincial-park/,1,,location-unconfirmed,,2021-07-31
2021-08-07,model,Drowning,Fitzroy Provincial Park,provincial-park,,18,An 18-year-old Ottawa woman drowned in the Ottawa River at Fitzroy Provincial Park.,2,https://www.cbc.ca/news/canada/ottawa/body-swimmer-fitzroy-provincial-park-1.6141902 | https://www.insideottawavalley.com/news/fitzroy-provincial-park-drowning-victim-was-18-year-old-ottawa-woman/article_23c40421-2743-5e08-acd0-4a1dfc02b8f0.html,1,,,,2021-08-07
2021-08-14,model,Drowning,Algonquin Provincial Park,provincial-park,,,A teenage boy drowned during a school canoeing trip in Algonquin Provincial Park.,1,https://www.thestar.com/news/canada/teen-would-not-have-drowned-if-he-wore-a-life-jacket-teacher-acknowledges-at-trial/article_7a23c428-88cc-57ee-bb98-300cf60b2367.html,1,,location-unconfirmed; single-source,,2021-08-14
2022-05-21,url-path,Falling Tree,Pinehurst Lake,other,,,"A tree fell on a camping trailer at Pinehurst Lake, resulting in one death and two injuries.",6,https://www.google.com/goto?url=CAEStwEB6zswFc0yx8Z0f3wsKfROY4aghiNwmlwo3xcrHkdJCHWOUedGVVncuraWAbSo7L2HBBYFYDLKvJE3oeWVcwzmpens1MgbQNjiz8-ZXeIm9QWEpI8zKw34dS-Y_V_03bVozS-Tj1piRJP_viKwm4QVYto3QGVCj1LXWzSeSE_F6cfx8HZ3DUIf1dhiVSTfXpxA8SfxDrzOCZ3cQ1dtW5DtbhfOAbtZm_vuSbp3YlJqSsE3fWoHtO4 | https://www.foxweather.com/weather-news/deadly-storms-canada-ontario-quebec | https://www.brantfordexpositor.ca/news/local-news/severe-storm-rips-through-brantford | https://www.reuters.com/business/environment/powerful-storm-rips-through-ontario-killing-least-two-2022-05-21/ | https://www.ctvnews.ca/london/article/it-was-scary-severe-thunderstorm-wreaks-havoc-in-southwestern-ontario/ | https://www.google.com/goto?url=CAEStwEB6zswFY3wiTZ4P98hikIbS6YrN9r7RjpSwSHyG_lAvtoKhYb_hncIMzs8xfK_IkPkoTGNgQgwvO4VjeBOFoLsH7kXzXl1R1ClrNVdc2uJpnIsvxXdORHIEAcX7mux0k6xbEw_uzagfW2wD7w9lAFpMIREFtUj3EKaEzN0buA3ZN3xLC85Wr7EzdAnVcyWu69U-HqQ9jTtR3znt0GpIna4yMtCW0rcDuQc6JuOS5BHa7k2avAUeXU,2,location+text,location-unconfirmed,,2022-07-21; 2026-07-27
2022-06-27,url-path,Drowning,Chutes Provincial Park,provincial-park,,,"A drowning incident occurred at Chutes Provincial Park, prompting an investigation by the OPP.",1,https://wawa-news.com/index.php/2022/06/27/manitoulin-opp-investigation-continues-into-drowning-at-chutes-provincial-park/,1,,single-source,,2022-06-26
2022-07-23,url-path,Drowning,Havilland Bay,other,,,An investigation is ongoing regarding a drowning death at Havilland Bay.,1,https://wawa-news.com/index.php/2022/07/23/ssm-opp-investigation-continues-into-drowning-death-at-havilland-bay/,1,,single-source,,2022-07-19
2023-07-06,url-path,Drowning,Rice Lake,other,,65,A 65-year-old man from Oshawa drowned in Rice Lake.,1,https://kawarthanow.com/2023/07/06/a-65-year-old-oshawa-man-drowned-in-rice-lake-on-wednesday-afternoon/,1,,single-source,,2023-07-05
2023-07-06,url-path,Drowning,Silver Falls Provincial Park,provincial-park,,,A man died after drowning at Silver Falls Provincial Park.,2,https://www.netnewsledger.com/2023/07/06/update-tragic-drowning-at-silver-falls-provincial-park-thunder-bay-opp-investigate-sudden-death/ | https://www.tbnewswatch.com/local-news/man-dies-at-silver-falls-provincial-park-7238624,1,,,,2023-07-06
2024-07-17,model,Falling Tree,Mallorytown,other,,,An Ottawa man died and a child was injured when a tree fell on their tent while camping in Mallorytown.,2,https://www.insideottawavalley.com/news/ottawa-father-dead-child-hurt-after-tree-falls-onto-tent-at-mallorytown-campground/article_28c1f633-bb7d-59c2-a105-4ae3d749d872.html | https://www.cbc.ca/news/canada/ottawa/ottawa-man-dies-mallorytown-tent-1.7569003,1,,,,2024-07-17
2024-07-18,model,Falling Tree,Quetico Provincial Park,provincial-park,,,A 63-year-old man died when a tree fell on his tent during a storm in Quetico Provincial Park.,2,https://www.ctvnews.ca/winnipeg/article/man-dies-from-injuries-after-tree-falls-on-him-in-northwestern-ontario/ | https://www.duluthnewstribune.com/news/man-killed-by-falling-tree-during-storms-in-quetico-provincial-park,1,,,,2024-07-18
2025-07-25,url-path,Drowning,Sandbanks Provincial Park,provincial-park,,,"A three-year-old child drowned at Sandbanks Provincial Park, prompting an investigation by the Ontario Provincial Police.",4,https://www.cp24.com/news/canada/2025/07/25/child-drowns-at-sandbanks-provincial-park/ | https://toronto.citynews.ca/2025/07/25/child-drowning-sandbanks-provincial-park/ | https://www.rmoutlook.com/health/two-people-including-three-year-old-die-in-separate-ontario-drownings-saturday-opp-10997165 | https://globalnews.ca/news/11306986/ontario-drownings-child-kayaker/,2,location+date,date-corrected-from-source,,2018-07-22; 2024-07-24
2026-06-08,url-path,Drowning,Pinery Provincial Park,provincial-park,,,A body was pulled from the lake at Pinery Provincial Park after a distress call about a group on a raft.,1,https://kitchener.citynews.ca/2026/06/08/body-found-at-pinery-provincial-park-after-victoria-day-water-emergency/,1,,date-corrected-from-source; single-source,,2018-05-21
2026-07-20,model,Falling Tree,Marmora and Lake,other,,,A man was killed when a tree fell during a storm in Marmora and Lake.,1,https://globalnews.ca/news/8871535/man-killed-falling-tree-marmora/,1,,single-source,,2026-07-20
2026-07-21,url-path,Drowning,Oastler Provincial Park,provincial-park,,,"A drowning death was reported in Oastler Provincial Park, near Parry Sound.",1,https://toronto.citynews.ca/2026/07/21/drowning-death-reported-in-oastler-provincial-park-near-parry-sound/,1,,date-corrected-from-source; single-source,,2022-06-22
2026-07-30,model,Falling Tree,Algonquin Provincial Park,provincial-park,,,A tragic incident occurred where a man was killed by a falling tree while camping in Algonquin Provincial Park.,1,https://www.cbc.ca/news/canada/london/pinery-provincial-park-tree-falls-on-campsite-labour-day-1.6580119,1,,location-unconfirmed; single-source,,2026-07-30
